# bench    brust  Tritium bffsree bropt  
awib       0.0197 0.350   0       0.0233 
Collatz    1.71   1.51    1.41    1.29   
Counter    2.27   1.92    2.49    1.96   
EasyOpt    0.0308 0.0200  0.0353  0.0308 
Factor     1.66   2.24    1.98    1.58   
Hanoi      0.112  0.0711  0.0159  0.0177 
Life       0.0114 0.0285  0.0117  0.0119 
Long       0.664  0.652   0.0654  0.0552 
Mandelbrot 1.52   1.95    1.44    1.38   
Prime      1.12   0.102   0.115   0.124  
SelfInt    2.05   2.59    1.89    1.64   
Sudoku     0.724  0.741   1.03    0.692  
